"Rule","MatchType","Reason","Publisher","Active","Source","AddedOn","AddedBy","Serial"
"3D Viewer","Name","Base image","Microsoft","Yes","carried-over","2026-08-26","",""
"Absolute Secure Access Client","Name","Base image","Absolute Software","Yes","image-intersection","2026-08-26","",""
"Adobe Creative Cloud","Name","Base image","Adobe Systems","Yes","image-intersection","2026-08-26","",""
"BitLocker Drive Encryption","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Calculator","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Camera","Name","Base image","Microsoft","Yes","carried-over","2026-08-26","",""
"Clock","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Company Portal","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Configuration Manager Client","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Copilot","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Cortana","Name","Base image","Microsoft","Yes","hand-review","2026-08-26","",""
"CyberArk Endpoint Privilege Manager Agent","Name","Base image","CyberArk Software","Yes","image-intersection","2026-08-26","",""
"Dell Command | Update","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell Core Services","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell Optimizer","Name","Base image","Dell Technologies","Yes","image-intersection","2026-08-26","",""
"Dell Pair","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell SupportAssist","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell SupportAssist OS Recovery Plugin for Dell Update","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell SupportAssist Remediation","Name","Base image","Dell","Yes","image-intersection","2026-08-26","",""
"Dell Trusted Device","Name","Base image","Dell Technologies","Yes","hand-review-1of2","2026-08-26","",""
"Dev Home","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Family","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Feedback Hub","Name","Base image","Microsoft","Yes","hand-review-1of2","2026-08-26","",""
"Get Help","Name","Base image","Microsoft","Yes","image-intersection","2026-08-26","",""
"Google Chrome","Name","Base image","Google","Yes","image-intersection","2026-08-26","",""
"Intel Graphics Software","Name","Base image","Intel","Yes","image-intersection","2026-08-26","",""
