"AppName","Publisher","Source","AddedOn","AddedBy","Serial"
"3D Viewer","Microsoft","carried-over","2026-08-26","",""
"Absolute Secure Access Client","Absolute Software","image-intersection","2026-08-26","",""
"Adobe Creative Cloud","Adobe Systems","image-intersection","2026-08-26","",""
"BitLocker Drive Encryption","Microsoft","image-intersection","2026-08-26","",""
"Calculator","Microsoft","image-intersection","2026-08-26","",""
"Camera","Microsoft","carried-over","2026-08-26","",""
"Clock","Microsoft","image-intersection","2026-08-26","",""
"Company Portal","Microsoft","image-intersection","2026-08-26","",""
"Configuration Manager Client","Microsoft","image-intersection","2026-08-26","",""
"Copilot","Microsoft","image-intersection","2026-08-26","",""
"CyberArk Endpoint Privilege Manager Agent","CyberArk Software","image-intersection","2026-08-26","",""
"Dell Command | Update","Dell","image-intersection","2026-08-26","",""
"Dell Core Services","Dell","image-intersection","2026-08-26","",""
"Dell Optimizer","Dell Technologies","image-intersection","2026-08-26","",""
"Dell Pair","Dell","image-intersection","2026-08-26","",""
"Dell SupportAssist","Dell","image-intersection","2026-08-26","",""
"Dell SupportAssist OS Recovery Plugin for Dell Update","Dell","image-intersection","2026-08-26","",""
"Dell SupportAssist Remediation","Dell","image-intersection","2026-08-26","",""
"Dell Trusted Device","Dell Technologies","hand-review-1of2","2026-08-26","",""
"Dev Home","Microsoft","image-intersection","2026-08-26","",""
"Family","Microsoft","image-intersection","2026-08-26","",""
"Feedback Hub","Microsoft","hand-review-1of2","2026-08-26","",""
"Get Help","Microsoft","image-intersection","2026-08-26","",""
"Google Chrome","Google","image-intersection","2026-08-26","",""
"Intel Graphics Software","Intel","image-intersection","2026-08-26","",""
"Intel Graphics Software & Drivers","Intel","image-intersection","2026-08-26","",""
"Intel Management and Security Status","INTEL","image-intersection","2026-08-26","",""
"Intel Rapid Storage Technology Application","INTEL","image-intersection","2026-08-26","",""
"Local Administrator Password Solution","Microsoft","image-intersection","2026-08-26","",""
"Maps","Microsoft","carried-over","2026-08-26","",""
"Microsoft 365","Microsoft","image-intersection","2026-08-26","",""
"Microsoft 365 Apps for enterprise - en-us","Microsoft","carried-over","2026-08-26","",""
"Microsoft 365 Copilot","Microsoft","carried-over","2026-08-26","",""
"Microsoft ASP.NET Core 8.0 (x64)","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Clipchamp","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Defender ATP","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Edge","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Intune","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Intune Management Extension","Microsoft","image-intersection","2026-08-26","",""
"Microsoft OneDrive","Microsoft","image-intersection","2026-08-26","",""
"Microsoft OneNote","Microsoft","image-intersection","2026-08-26","",""
"Microsoft SQL Server","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Store","Microsoft","carried-over","2026-08-26","",""
"Microsoft Teams","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Teams Meeting Add-in for Microsoft Office","Microsoft","carried-over","2026-08-26","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x64)","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x86)","Microsoft","image-intersection","2026-08-26","",""
"Microsoft Windows Desktop Runtime","Microsoft","image-intersection","2026-08-26","",""
"News","Microsoft","image-intersection","2026-08-26","",""
"Notepad","Microsoft","image-intersection","2026-08-26","",""
"OneNote for Windows 10","Microsoft","carried-over","2026-08-26","",""
"Outlook","Microsoft","image-intersection","2026-08-26","",""
"Paint","Microsoft","image-intersection","2026-08-26","",""
"Paint 3D","Microsoft","carried-over","2026-08-26","",""
"Photos","Microsoft","image-intersection","2026-08-26","",""
"Power Automate Desktop","Microsoft","image-intersection","2026-08-26","",""
"Printer Installer Client","PrinterLogic","image-intersection","2026-08-26","",""
"Quick Assist","Microsoft","image-intersection","2026-08-26","",""
"Realtek Audio Driver","Realtek Semiconductor","image-intersection","2026-08-26","",""
"Snipping Tool","Microsoft","image-intersection","2026-08-26","",""
"Sound Recorder","Microsoft","image-intersection","2026-08-26","",""
"Sticky Notes","Microsoft","image-intersection","2026-08-26","",""
"Tanium Client","Tanium","image-intersection","2026-08-26","",""
"Teams Machine-Wide Installer","Microsoft","carried-over","2026-08-26","",""
"Terminal","Microsoft","image-intersection","2026-08-26","",""
"Terugvoer-spil","Microsoft","hand-review-1of2","2026-08-26","",""
"To Do","Microsoft","image-intersection","2026-08-26","",""
"Weather","Microsoft","image-intersection","2026-08-26","",""
"Windows Camera","Microsoft","image-intersection","2026-08-26","",""
"Windows Defender","Microsoft","image-intersection","2026-08-26","",""
"Windows Defender Advanced Threat Protection Service","Microsoft","image-intersection","2026-08-26","",""
"Windows Security","Microsoft","image-intersection","2026-08-26","",""
"Windows Store","Microsoft","image-intersection","2026-08-26","",""
"Windows Update","Microsoft","image-intersection","2026-08-26","",""
"Xbox","Microsoft","image-intersection","2026-08-26","",""
